Date,Strategy,Daily_Return,Tickers_Count,Cumulative_Return,Sectors_Count,Selected_Sectors
2020-04-13,Buy and Hold,-0.002144078596018822,27.0,-0.06631664048517061,,
2020-04-14,Buy and Hold,0.020878085065057374,27.0,-0.04682311988139143,,
2020-04-15,Buy and Hold,-0.010469448152974636,27.0,-0.05680235580840731,,
2020-04-16,Buy and Hold,0.005146613834334789,27.0,-0.05194808176429888,,
2020-04-17,Buy and Hold,0.02658473460941675,27.0,-0.026744373122054244,,
2020-04-20,Buy and Hold,-0.010022776463914826,27.0,-0.03649909671249918,,
2020-04-21,Buy and Hold,-0.02709938506296855,27.0,-0.06260937869920524,,
2020-04-22,Buy and Hold,0.009395948807691006,27.0,-0.053801704408653395,,
2020-04-23,Buy and Hold,0.0033324671266998394,27.0,-0.05064852969325573,,
2020-04-24,Buy and Hold,0.0077069472324960125,27.0,-0.0433319280065092,,
